2012-08-07 08:59:11 Debug: Notice (8): Undefined index: texto_galeria in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\contactanos.ctp, line 116]
2012-08-07 09:00:16 Debug: Notice (8): Undefined index: texto_galeria in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\contactanos.ctp, line 116]
2012-08-07 09:01:21 Debug: Notice (8): Undefined index: texto_galeria in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\contactanos.ctp, line 116]
2012-08-07 09:01:39 Debug: Notice (8): Undefined index: texto_galeria in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\contactanos.ctp, line 116]
2012-08-07 09:02:01 Debug: Notice (8): Undefined index: texto_galeria in [C:\xampp\htdocs\sistema_magdaleno\app\views\pages\contactanos.ctp, line 116]
2012-08-07 10:24:53 Debug: Notice (8): Undefined index: producto in [C:\xampp\htdocs\sistema_magdaleno\app\controllers\pages_controller.php, line 345]
2012-08-07 10:53:10 Debug: Notice (8): Undefined index: fechacre_galeria in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\mismensajes.ctp, line 54]
2012-08-07 10:53:10 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\mismensajes.ctp, line 55]
2012-08-07 10:57:16 Debug: Notice (8): Undefined index: fecha in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\mismensajes.ctp, line 54]
2012-08-07 10:57:16 Debug: Notice (8): Undefined variable: new_fecha in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\mismensajes.ctp, line 56]
2012-08-07 11:01:53 Debug: Notice (8): Undefined index: fecha in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\mismensajes.ctp, line 54]
2012-08-07 11:04:34 Debug: Notice (8): Undefined index: nombre in [C:\xampp\htdocs\sistema_magdaleno\app\views\ventas\mismensajes.ctp, line 36]
